"id","educ","majorcol","rincome","race","sex"
1,16,9,NA,1,1
2,12,NA,12,1,1
3,16,NA,NA,1,1
4,12,NA,9,1,2
5,18,NA,2,1,2
6,14,50,NA,1,2
7,14,NA,NA,1,1
8,11,NA,10,3,2
9,12,NA,11,2,1
10,14,NA,NA,1,1
11,12,NA,NA,2,2
12,12,NA,NA,1,2
13,12,NA,4,2,1
14,NA,NA,NA,2,2
15,10,NA,11,1,1
16,13,NA,12,1,2
17,13,NA,11,1,1
18,10,NA,NA,3,2
19,18,NA,12,2,1
20,13,NA,12,2,1
21,12,NA,12,1,2
22,11,NA,NA,2,2
23,10,NA,4,3,2
24,12,NA,12,1,2
25,15,NA,10,1,2
26,3,NA,NA,1,2
27,19,35,NA,1,1
28,14,NA,NA,2,1
29,18,82,12,1,1
30,12,NA,NA,1,2
31,12,NA,NA,1,1
32,12,NA,12,1,2
33,12,NA,12,1,1
34,14,NA,NA,2,1
35,12,NA,NA,1,2
36,12,NA,12,1,1
37,16,NA,10,1,1
38,16,21,12,1,2
39,16,NA,12,1,2
40,14,NA,NA,1,2
41,12,NA,10,1,2
42,12,NA,NA,3,2
43,16,36,NA,3,2
44,20,NA,12,1,2
45,17,NA,NA,1,1
46,15,NA,12,1,1
47,16,20,NA,2,2
48,16,41,12,3,1
49,17,NA,NA,1,1
50,16,NA,12,1,2
51,16,17,NA,3,2
52,12,NA,NA,1,2
53,13,NA,2,1,1
54,19,NA,NA,1,1
55,16,9,5,1,2
56,16,12,12,1,2
57,17,NA,11,1,2
58,17,42,12,1,2
59,20,NA,8,1,2
60,10,NA,6,1,2
61,13,NA,11,2,1
62,12,NA,NA,2,1
63,12,NA,NA,2,2
64,13,NA,11,2,2
65,11,NA,NA,3,2
66,10,NA,12,3,1
67,12,NA,11,3,1
68,10,NA,NA,2,2
69,11,NA,NA,2,2
70,6,NA,NA,3,2
71,10,NA,NA,2,2
72,14,60,12,2,2
73,11,NA,NA,2,1
74,12,NA,NA,2,1
75,18,36,12,2,2
76,10,NA,NA,2,2
77,20,43,12,1,2
78,18,16,12,2,2
79,19,NA,NA,1,2
80,12,NA,NA,2,1
81,14,49,12,3,1
82,14,NA,12,1,2
83,16,25,12,1,1
84,12,NA,12,1,1
85,16,NA,12,1,1
86,12,NA,12,1,1
87,16,NA,12,1,2
88,13,NA,11,3,2
89,12,NA,10,1,2
90,12,NA,NA,1,1
91,12,NA,NA,2,2
92,20,NA,NA,2,1
93,19,16,NA,1,1
94,16,NA,12,1,1
95,17,NA,12,1,1
96,15,NA,12,1,1
97,16,NA,11,1,1
98,16,6,6,2,1
99,20,NA,8,3,1
100,16,NA,12,1,1
101,16,NA,12,2,2
102,12,NA,NA,1,2
103,12,NA,NA,1,1
104,12,NA,NA,1,2
105,14,NA,NA,3,2
106,8,NA,NA,1,2
107,12,NA,NA,1,2
108,12,NA,NA,1,2
109,11,NA,NA,1,1
110,16,NA,NA,1,2
111,16,1,12,1,1
112,16,NA,NA,1,2
113,14,NA,NA,3,1
114,14,NA,12,1,1
115,20,34,NA,3,2
116,17,NA,NA,1,2
117,19,NA,NA,1,2
118,19,51,NA,1,2
119,13,NA,NA,1,1
120,12,NA,NA,1,2
121,18,16,12,1,2
122,15,NA,10,1,2
123,16,NA,NA,1,2
124,12,NA,12,1,1
125,16,16,NA,1,1
126,15,NA,NA,1,1
127,12,NA,12,1,2
128,16,NA,12,1,1
129,16,NA,12,1,2
130,20,9,12,1,1
131,12,NA,NA,2,1
132,16,36,12,2,2
133,14,NA,4,2,2
134,12,NA,12,1,1
135,12,NA,12,2,2
136,14,60,NA,1,2
137,12,NA,NA,1,2
138,12,NA,2,1,2
139,16,19,12,1,2
140,12,NA,NA,1,1
141,16,40,NA,1,2
142,14,NA,NA,1,2
143,14,NA,NA,1,1
144,16,NA,NA,1,2
145,14,NA,12,1,1
146,16,44,12,1,2
147,16,NA,NA,1,2
148,14,NA,NA,3,1
149,12,NA,12,1,2
150,16,67,12,1,1
151,18,NA,12,1,1
152,15,81,12,1,2
153,12,NA,NA,3,2
154,18,71,10,3,2
155,12,NA,12,1,1
156,14,18,NA,1,1
157,16,NA,11,3,2
158,16,57,NA,1,2
159,13,NA,12,1,2
160,12,NA,12,3,1
161,15,NA,12,3,2
162,18,18,NA,3,1
163,12,NA,9,1,2
164,NA,NA,NA,1,2
165,12,NA,NA,1,2
166,11,NA,NA,3,2
167,12,NA,NA,1,2
168,13,NA,2,1,2
169,12,NA,12,2,1
170,14,NA,NA,2,1
171,11,NA,NA,2,2
172,14,NA,10,1,1
173,12,NA,NA,1,2
174,20,NA,12,1,1
175,14,NA,NA,1,2
176,14,NA,12,3,2
177,16,9,12,1,1
178,18,NA,NA,3,2
179,14,NA,12,1,1
180,12,NA,5,2,2
181,16,NA,12,3,2
182,14,62,NA,2,1
183,17,NA,NA,3,2
184,12,NA,NA,2,1
185,16,NA,4,2,1
186,13,NA,NA,3,1
187,18,NA,NA,1,1
188,12,NA,12,2,1
189,8,NA,NA,3,2
190,1,NA,NA,1,2
191,14,NA,10,3,2
192,9,NA,10,3,2
193,2,NA,10,1,2
194,8,NA,11,3,2
195,9,NA,10,1,1
