"id","educ","race","sex"
1,12,1,2
2,16,1,1
3,NA,1,NA
4,NA,1,NA
6,14,2,2
7,17,2,2
8,12,1,1
9,19,1,2
10,13,1,1
12,16,3,2
13,11,1,1
14,15,1,1
15,16,3,2
16,14,1,1
17,18,1,1
18,14,1,2
19,12,1,2
21,14,1,2
22,15,1,2
23,17,1,2
24,16,1,1
25,16,3,1
26,16,1,2
27,18,2,2
28,14,1,1
29,12,1,1
30,20,1,2
31,16,3,2
32,12,2,1
35,12,1,1
36,16,3,2
37,18,1,2
38,20,1,1
39,16,1,1
40,12,1,2
41,13,1,2
42,8,1,2
43,13,1,1
44,NA,1,NA
45,17,1,1
46,16,1,2
47,16,1,2
48,16,3,2
49,20,1,1
50,12,3,2
51,17,2,1
52,14,2,2
53,14,1,1
54,18,3,1
56,16,1,1
57,16,3,2
59,13,1,2
60,16,1,2
61,14,1,2
62,16,1,2
63,14,1,1
64,3,1,1
65,13,1,1
66,14,1,1
67,16,1,1
68,20,1,2
69,14,3,1
70,17,1,1
71,17,1,2
72,14,1,1
74,15,1,2
75,16,1,2
76,6,3,2
77,14,3,1
78,12,3,2
79,14,3,1
80,16,1,1
81,12,1,2
82,12,1,1
83,12,1,2
84,18,2,2
85,16,1,1
86,16,1,2
88,16,1,1
89,10,2,2
90,18,2,2
91,12,2,1
92,16,1,1
93,16,1,2
94,15,1,1
95,16,1,2
96,12,1,2
97,13,2,1
98,14,2,2
99,15,2,2
100,16,1,1
101,14,1,1
102,18,1,1
103,18,1,2
104,17,1,1
105,18,1,2
106,13,1,1
107,18,NA,2
108,14,1,2
109,8,3,1
111,16,1,1
113,12,1,1
114,14,1,2
115,20,1,2
116,15,1,2
117,20,3,1
118,20,1,1
119,18,1,1
120,16,2,2
121,20,2,1
122,16,1,1
123,18,2,1
124,18,1,2
125,18,1,2
126,16,2,2
127,13,1,2
128,13,1,NA
130,16,1,2
131,16,1,2
132,13,3,2
135,16,2,1
136,16,1,2
137,12,1,2
138,12,1,2
139,17,1,1
140,16,1,2
142,16,1,2
143,19,1,1
144,18,1,2
145,18,1,2
146,16,1,2
147,16,3,2
148,12,1,1
149,16,1,2
150,12,3,2
151,11,1,2
152,16,1,2
153,14,1,1
154,19,1,2
155,16,1,2
156,12,1,1
158,20,1,2
159,14,1,2
160,16,1,2
161,19,3,1
162,14,2,2
163,12,2,1
164,14,2,1
165,16,2,2
166,20,1,1
167,17,1,2
168,14,1,1
169,19,1,2
170,20,1,2
171,16,1,1
172,16,1,2
173,18,1,2
174,16,2,2
175,14,3,1
176,16,1,2
177,16,2,1
179,12,1,1
181,16,2,2
182,18,1,2
183,18,1,1
184,12,1,2
185,13,3,2
187,14,2,2
188,12,1,2
189,13,1,2
190,10,1,2
192,14,1,1
194,13,1,2
195,16,3,2
196,17,1,2
198,16,1,1
199,12,1,1
201,16,3,2
202,12,1,1
203,20,3,1
205,10,1,1
206,12,2,2
207,14,3,2
208,18,3,NA
209,16,1,1
210,12,1,2
211,9,1,1
213,14,2,1
214,12,2,2
215,17,2,2
216,6,2,2
217,12,3,1
218,12,1,2
219,NA,3,1
220,14,1,2
221,13,1,2
222,19,2,1
223,12,1,2
224,16,3,2
225,0,3,1
226,15,3,2
227,12,2,2
229,14,3,2
230,12,1,2
231,17,1,2
232,13,3,2
233,18,1,2
234,17,2,2
235,12,1,1
236,20,1,2
237,14,1,1
238,14,1,2
239,16,2,2
240,12,3,2
241,18,2,2
242,16,1,1
243,14,1,2
244,16,1,NA
245,NA,2,1
246,12,1,1
247,15,2,2
248,11,1,2
250,12,1,2
253,17,3,2
254,16,1,1
255,16,1,1
256,16,1,1
257,16,1,2
258,14,3,2
259,19,3,1
260,14,1,2
261,13,1,2
262,20,1,2
263,12,1,1
264,15,3,1
265,16,1,2
266,12,3,2
267,12,1,2
268,18,1,2
269,16,1,2
270,14,1,NA
271,16,1,1
272,18,1,1
273,14,1,2
274,14,1,1
275,12,1,2
276,12,1,1
277,17,1,1
278,16,3,1
279,16,1,2
280,14,3,2
281,16,3,1
282,20,NA,1
284,20,3,1
285,19,1,1
286,14,2,1
287,12,1,1
288,16,1,2
289,12,1,2
291,12,3,1
292,16,1,2
293,15,1,2
294,16,1,1
296,11,1,1
297,16,1,2
298,16,1,2
299,15,1,2
300,15,1,2
301,13,1,1
302,12,3,2
303,18,1,1
304,19,1,2
305,18,1,1
