"","Degree","Happy_level","Year","Happy"
"1","Bachelor's",3,1972,"Not too happy"
"2","Less than high school",3,1972,"Not too happy"
"3","High school",2,1972,"Pretty happy"
"4","Bachelor's",3,1972,"Not too happy"
"5","High school",2,1972,"Pretty happy"
"6","High school",2,1972,"Pretty happy"
"7","High school",3,1972,"Not too happy"
"8","Bachelor's",3,1972,"Not too happy"
"9","High school",2,1972,"Pretty happy"
"10","High school",2,1972,"Pretty happy"
"11","High school",2,1972,"Pretty happy"
"12","Less than high school",2,1972,"Pretty happy"
"13","Less than high school",2,1972,"Pretty happy"
"14","Less than high school",3,1972,"Not too happy"
"15","Less than high school",1,1972,"Very happy"
"16","High school",3,1972,"Not too happy"
"17","High school",1,1972,"Very happy"
"18","Less than high school",1,1972,"Very happy"
"19","Bachelor's",1,1972,"Very happy"
"20","High school",1,1972,"Very happy"
"21","High school",1,1972,"Very happy"
"22","High school",1,1972,"Very happy"
"23","High school",1,1972,"Very happy"
"24","Bachelor's",2,1972,"Pretty happy"
"25","High school",1,1972,"Very happy"
"26","High school",2,1972,"Pretty happy"
"27","High school",2,1972,"Pretty happy"
"28","High school",2,1972,"Pretty happy"
"29","Less than high school",2,1972,"Pretty happy"
"30","Less than high school",2,1972,"Pretty happy"
"31","High school",1,1972,"Very happy"
"32","Bachelor's",2,1972,"Pretty happy"
"33","Less than high school",1,1972,"Very happy"
"34","High school",1,1972,"Very happy"
"35","High school",3,1972,"Not too happy"
"36","High school",1,1972,"Very happy"
"37","Less than high school",3,1972,"Not too happy"
"38","High school",2,1972,"Pretty happy"
"39","High school",3,1972,"Not too happy"
"40","Less than high school",2,1972,"Pretty happy"
"41","Less than high school",1,1972,"Very happy"
"42","Less than high school",2,1972,"Pretty happy"
"43","High school",1,1972,"Very happy"
"44","High school",2,1972,"Pretty happy"
"45","High school",2,1972,"Pretty happy"
"46","Less than high school",1,1972,"Very happy"
"47","Less than high school",2,1972,"Pretty happy"
"48","Less than high school",2,1972,"Pretty happy"
"49","High school",1,1972,"Very happy"
"50","Less than high school",1,1972,"Very happy"
"51","High school",1,1972,"Very happy"
"52","Less than high school",1,1972,"Very happy"
"53","High school",2,1972,"Pretty happy"
"54","High school",2,1972,"Pretty happy"
"55","High school",2,1972,"Pretty happy"
"56","High school",1,1972,"Very happy"
"57","Less than high school",1,1972,"Very happy"
"58","High school",1,1972,"Very happy"
"59","Less than high school",2,1972,"Pretty happy"
"60","High school",2,1972,"Pretty happy"
"61","Less than high school",2,1972,"Pretty happy"
"62","High school",1,1972,"Very happy"
"63","Less than high school",2,1972,"Pretty happy"
"64","High school",2,1972,"Pretty happy"
