"","Employee_status","Happy_level","Year","Happy"
"1","Someone else",3,1972,"Not too happy"
"2","Someone else",3,1972,"Not too happy"
"3","Someone else",2,1972,"Pretty happy"
"4","Someone else",3,1972,"Not too happy"
"5","Someone else",2,1972,"Pretty happy"
"6","Someone else",2,1972,"Pretty happy"
"7","Someone else",3,1972,"Not too happy"
"8","Someone else",3,1972,"Not too happy"
"9","Someone else",2,1972,"Pretty happy"
"10","Someone else",2,1972,"Pretty happy"
"11","Someone else",2,1972,"Pretty happy"
"12","Someone else",2,1972,"Pretty happy"
"13","Someone else",2,1972,"Pretty happy"
"14","Someone else",3,1972,"Not too happy"
"15","Someone else",1,1972,"Very happy"
"16","Someone else",3,1972,"Not too happy"
"17","Someone else",1,1972,"Very happy"
"18","Someone else",1,1972,"Very happy"
"19","Someone else",1,1972,"Very happy"
"20","Self-employed",1,1972,"Very happy"
"21","Someone else",1,1972,"Very happy"
"22","Someone else",1,1972,"Very happy"
"23","Someone else",1,1972,"Very happy"
"24","Someone else",2,1972,"Pretty happy"
"25","Someone else",1,1972,"Very happy"
"26","Someone else",2,1972,"Pretty happy"
"27","Someone else",2,1972,"Pretty happy"
"28","Someone else",2,1972,"Pretty happy"
"29","Someone else",2,1972,"Pretty happy"
"30","Someone else",2,1972,"Pretty happy"
"31","Someone else",1,1972,"Very happy"
"32","Self-employed",2,1972,"Pretty happy"
"33","Someone else",1,1972,"Very happy"
"34","Someone else",1,1972,"Very happy"
"35","Someone else",3,1972,"Not too happy"
"36","Someone else",1,1972,"Very happy"
"37","Self-employed",3,1972,"Not too happy"
"38","Someone else",2,1972,"Pretty happy"
"39","Self-employed",3,1972,"Not too happy"
"40","Someone else",2,1972,"Pretty happy"
"41","Someone else",1,1972,"Very happy"
"42","Someone else",2,1972,"Pretty happy"
"43","Someone else",1,1972,"Very happy"
"44","Someone else",2,1972,"Pretty happy"
"45","Someone else",2,1972,"Pretty happy"
"46","Someone else",1,1972,"Very happy"
"47","Self-employed",2,1972,"Pretty happy"
"48","Someone else",2,1972,"Pretty happy"
"49","Someone else",1,1972,"Very happy"
"50","Someone else",1,1972,"Very happy"
"51","Someone else",1,1972,"Very happy"
"52","Someone else",1,1972,"Very happy"
"53","Someone else",2,1972,"Pretty happy"
"54","Someone else",2,1972,"Pretty happy"
"55","Someone else",2,1972,"Pretty happy"
"56","Someone else",1,1972,"Very happy"
"57","Someone else",1,1972,"Very happy"
"58","Someone else",1,1972,"Very happy"
"59","Someone else",2,1972,"Pretty happy"
"60","Someone else",2,1972,"Pretty happy"
"61","Someone else",2,1972,"Pretty happy"
"62","Someone else",1,1972,"Very happy"
"63","Someone else",2,1972,"Pretty happy"
"64","Someone else",2,1972,"Pretty happy"
"65","Self-employed",1,1972,"Very happy"
"66","Someone else",2,1972,"Pretty happy"
"67","Someone else",2,1972,"Pretty happy"
"68","Someone else",2,1972,"Pretty happy"
