"","Year","Happy_level","People"
"1",1972,"Not too happy",235
"2",1972,"Pretty happy",755
"3",1972,"Very happy",433
"4",1973,"Not too happy",167
"5",1973,"Pretty happy",684
"6",1973,"Very happy",482
"7",1974,"Not too happy",177
"8",1974,"Pretty happy",657
"9",1974,"Very happy",517
"10",1975,"Not too happy",172
"11",1975,"Pretty happy",724
"12",1975,"Very happy",447
"13",1976,"Not too happy",167
"14",1976,"Pretty happy",719
"15",1976,"Very happy",460
"16",1977,"Not too happy",160
"17",1977,"Pretty happy",756
"18",1977,"Very happy",492
"19",1978,"Not too happy",132
"20",1978,"Pretty happy",778
"21",1978,"Very happy",477
"22",1980,"Not too happy",170
"23",1980,"Pretty happy",706
"24",1980,"Very happy",456
"25",1982,"Not too happy",237
"26",1982,"Pretty happy",958
"27",1982,"Very happy",526
"28",1983,"Not too happy",174
"29",1983,"Pretty happy",823
"30",1983,"Very happy",464
"31",1984,"Not too happy",173
"32",1984,"Pretty happy",710
"33",1984,"Very happy",471
"34",1985,"Not too happy",166
"35",1985,"Pretty happy",870
"36",1985,"Very happy",413
"37",1986,"Not too happy",156
"38",1986,"Pretty happy",766
"39",1986,"Very happy",427
"40",1987,"Not too happy",227
"41",1987,"Pretty happy",962
"42",1987,"Very happy",488
"43",1988,"Not too happy",124
"44",1988,"Pretty happy",777
"45",1988,"Very happy",473
"46",1989,"Not too happy",136
"47",1989,"Pretty happy",811
"48",1989,"Very happy",457
"49",1990,"Not too happy",109
"50",1990,"Pretty happy",742
"51",1990,"Very happy",431
"52",1991,"Not too happy",146
"53",1991,"Pretty happy",813
"54",1991,"Very happy",441
"55",1993,"Not too happy",165
"56",1993,"Pretty happy",865
"57",1993,"Very happy",482
"58",1994,"Not too happy",336
"59",1994,"Pretty happy",1676
"60",1994,"Very happy",818
"61",1996,"Not too happy",320
"62",1996,"Pretty happy",1579
"63",1996,"Very happy",831
"64",1998,"Not too happy",305
"65",1998,"Pretty happy",1471
"66",1998,"Very happy",850
"67",2000,"Not too happy",268
"68",2000,"Pretty happy",1494
"69",2000,"Very happy",823
"70",2002,"Not too happy",158
"71",2002,"Pretty happy",763
"72",2002,"Very happy",399
"73",2004,"Not too happy",167
"74",2004,"Pretty happy",707
"75",2004,"Very happy",396
"76",2006,"Not too happy",369
"77",2006,"Pretty happy",1598
"78",2006,"Very happy",885
"79",2008,"Not too happy",300
"80",2008,"Pretty happy",1067
"81",2008,"Very happy",580
"82",2010,"Not too happy",292
"83",2010,"Pretty happy",1127
"84",2010,"Very happy",517
"85",2012,"Not too happy",263
"86",2012,"Pretty happy",1054
"87",2012,"Very happy",568
"88",2014,"Not too happy",321
"89",2014,"Pretty happy",1360
"90",2014,"Very happy",750
"91",2016,"Not too happy",420
"92",2016,"Pretty happy",1555
"93",2016,"Very happy",784
"94",2018,"Not too happy",322
"95",2018,"Pretty happy",1250
"96",2018,"Very happy",684
"97",2021,"Not too happy",863
"98",2021,"Pretty happy",2158
"99",2021,"Very happy",738
