"","IndustrySector","Income","The_Number_Of_People","Percentage"
"1","Government","LT $1000",6,35.2941176470588
"2","Government","$1000 TO 2999",1,7.14285714285714
"3","Government","$3000 TO 3999",2,10.5263157894737
"4","Government","$4000 TO 4999",1,12.5
"5","Government","$6000 TO 6999",3,60
"6","Government","$7000 TO 7999",2,33.3333333333333
"7","Government","$8000 TO 9999",3,17.6470588235294
"8","Government","$10000 - 14999",10,20
"9","Government","$15000 - 19999",1,3.7037037037037
"10","Government","$20000 - 24999",5,8.62068965517241
"11","Government","$25000 OR MORE",88,21.4634146341463
"12","Private","LT $1000",11,64.7058823529412
"13","Private","$1000 TO 2999",13,92.8571428571429
"14","Private","$3000 TO 3999",17,89.4736842105263
"15","Private","$4000 TO 4999",7,87.5
"16","Private","$5000 TO 5999",11,100
"17","Private","$6000 TO 6999",2,40
"18","Private","$7000 TO 7999",4,66.6666666666667
"19","Private","$8000 TO 9999",14,82.3529411764706
"20","Private","$10000 - 14999",40,80
"21","Private","$15000 - 19999",26,96.2962962962963
"22","Private","$20000 - 24999",53,91.3793103448276
"23","Private","$25000 OR MORE",322,78.5365853658537
