"","ScienceCourse","Income","The_Number_Of_People","Percentage"
"1","Yes","LT $1000",6,35.2941176470588
"2","Yes","$1000 TO 2999",4,28.5714285714286
"3","Yes","$3000 TO 3999",6,31.578947368421
"4","Yes","$4000 TO 4999",3,37.5
"5","Yes","$5000 TO 5999",3,27.2727272727273
"6","Yes","$6000 TO 6999",3,60
"7","Yes","$7000 TO 7999",2,33.3333333333333
"8","Yes","$8000 TO 9999",9,52.9411764705882
"9","Yes","$10000 - 14999",17,34
"10","Yes","$15000 - 19999",11,40.7407407407407
"11","Yes","$20000 - 24999",18,31.0344827586207
"12","Yes","$25000 OR MORE",226,55.1219512195122
"13","No","LT $1000",11,64.7058823529412
"14","No","$1000 TO 2999",10,71.4285714285714
"15","No","$3000 TO 3999",13,68.421052631579
"16","No","$4000 TO 4999",5,62.5
"17","No","$5000 TO 5999",8,72.7272727272727
"18","No","$6000 TO 6999",2,40
"19","No","$7000 TO 7999",4,66.6666666666667
"20","No","$8000 TO 9999",8,47.0588235294118
"21","No","$10000 - 14999",33,66
"22","No","$15000 - 19999",16,59.2592592592593
"23","No","$20000 - 24999",40,68.9655172413793
"24","No","$25000 OR MORE",184,44.8780487804878
