"","Marital_status","Happy_level","Year"
"1","Never married","Not too happy",1972
"2","Married","Not too happy",1972
"3","Married","Pretty happy",1972
"4","Married","Not too happy",1972
"5","Married","Pretty happy",1972
"6","Never married","Pretty happy",1972
"7","Divorced","Not too happy",1972
"8","Never married","Not too happy",1972
"9","Never married","Pretty happy",1972
"10","Married","Pretty happy",1972
"11","Married","Pretty happy",1972
"12","Married","Pretty happy",1972
"13","Married","Pretty happy",1972
"14","Divorced","Not too happy",1972
"15","Married","Very happy",1972
"16","Married","Not too happy",1972
"17","Married","Very happy",1972
"18","Married","Very happy",1972
"19","Married","Very happy",1972
"20","Married","Very happy",1972
"21","Married","Very happy",1972
"22","Married","Very happy",1972
"23","Married","Very happy",1972
"24","Married","Pretty happy",1972
"25","Married","Very happy",1972
"26","Married","Pretty happy",1972
"27","Married","Pretty happy",1972
"28","Married","Pretty happy",1972
"29","Married","Pretty happy",1972
"30","Married","Pretty happy",1972
"31","Married","Very happy",1972
"32","Never married","Pretty happy",1972
"33","Married","Very happy",1972
"34","Married","Very happy",1972
"35","Married","Not too happy",1972
"36","Married","Very happy",1972
"37","Never married","Not too happy",1972
"38","Married","Pretty happy",1972
"39","Married","Not too happy",1972
"40","Married","Pretty happy",1972
"41","Married","Very happy",1972
"42","Married","Pretty happy",1972
"43","Married","Very happy",1972
"44","Never married","Pretty happy",1972
"45","Married","Pretty happy",1972
"46","Married","Very happy",1972
"47","Married","Pretty happy",1972
"48","Married","Pretty happy",1972
"49","Married","Very happy",1972
"50","Married","Very happy",1972
"51","Married","Very happy",1972
"52","Married","Very happy",1972
"53","Married","Pretty happy",1972
"54","Married","Pretty happy",1972
"55","Married","Pretty happy",1972
"56","Married","Very happy",1972
"57","Married","Very happy",1972
"58","Married","Very happy",1972
"59","Married","Pretty happy",1972
"60","Married","Pretty happy",1972
"61","Married","Pretty happy",1972
"62","Married","Very happy",1972
"63","Married","Pretty happy",1972
"64","Married","Pretty happy",1972
"65","Married","Very happy",1972
"66","Never married","Pretty happy",1972
"67","Married","Pretty happy",1972
"68","Married","Pretty happy",1972
"69","Married","Pretty happy",1972
"70","Married","Pretty happy",1972
"71","Married","Not too happy",1972
"72","Never married","Pretty happy",1972
"73","Never married","Pretty happy",1972
"74","Widowed","Not too happy",1972
"75","Never married","Very happy",1972
"76","Never married","Pretty happy",1972
"77","Married","Pretty happy",1972
"78","Married","Pretty happy",1972
"79","Divorced","Very happy",1972
"80","Married","Very happy",1972
"81","Married","Very happy",1972
"82","Married","Pretty happy",1972
"83","Never married","Pretty happy",1972
"84","Married","Very happy",1972
"85","Never married","Pretty happy",1972
"86","Married","Very happy",1972
"87","Married","Pretty happy",1972
"88","Married","Pretty happy",1972
"89","Married","Very happy",1972
"90","Married","Very happy",1972
"91","Married","Very happy",1972
"92","Married","Very happy",1972
"93","Married","Very happy",1972
"94","Married","Very happy",1972
"95","Married","Pretty happy",1972
"96","Married","Very happy",1972
"97","Married","Very happy",1972
"98","Married","Pretty happy",1972
"99","Divorced","Pretty happy",1972
"100","Never married","Pretty happy",1972
"101","Divorced","Very happy",1972
"102","Divorced","Not too happy",1972
"103","Divorced","Not too happy",1972
"104","Never married","Pretty happy",1972
"105","Married","Pretty happy",1972
"106","Divorced","Pretty happy",1972
"107","Separated","Pretty happy",1972
"108","Married","Pretty happy",1972
"109","Separated","Not too happy",1972
"110","Married","Very happy",1972
"111","Married","Not too happy",1972
"112","Widowed","Very happy",1972
"113","Married","Very happy",1972
"114","Married","Pretty happy",1972
"115","Married","Pretty happy",1972
"116","Married","Pretty happy",1972
"117","Divorced","Not too happy",1972
"118","Married","Not too happy",1972
"119","Married","Pretty happy",1972
"120","Married","Pretty happy",1972
"121","Married","Pretty happy",1972
"122","Married","Pretty happy",1972
"123","Never married","Pretty happy",1972
"124","Married","Very happy",1972
"125","Married","Pretty happy",1972
"126","Married","Pretty happy",1972
"127","Married","Pretty happy",1972
"128","Widowed","Pretty happy",1972
"129","Married","Not too happy",1972
"130","Divorced","Pretty happy",1972
"131","Never married","Pretty happy",1972
"132","Married","Pretty happy",1972
"133","Divorced","Pretty happy",1972
"134","Married","Pretty happy",1972
"135","Married","Very happy",1972
"136","Married","Very happy",1972
"137","Married","Pretty happy",1972
"138","Married","Very happy",1972
"139","Married","Pretty happy",1972
"140","Married","Pretty happy",1972
"141","Married","Pretty happy",1972
"142","Widowed","Pretty happy",1972
"143","Married","Very happy",1972
"144","Married","Pretty happy",1972
"145","Divorced","Pretty happy",1972
"146","Married","Pretty happy",1972
"147","Married","Pretty happy",1972
"148","Married","Pretty happy",1972
"149","Married","Very happy",1972
"150","Never married","Pretty happy",1972
"151","Separated","Very happy",1972
"152","Never married","Pretty happy",1972
"153","Married","Very happy",1972
"154","Married","Very happy",1972
"155","Married","Very happy",1972
"156","Married","Very happy",1972
"157","Married","Pretty happy",1972
"158","Never married","Very happy",1972
"159","Never married","Pretty happy",1972
"160","Never married","Pretty happy",1972
"161","Married","Pretty happy",1972
"162","Divorced","Pretty happy",1972
"163","Never married","Not too happy",1972
"164","Married","Very happy",1972
"165","Never married","Pretty happy",1972
"166","Married","Very happy",1972
"167","Married","Pretty happy",1972
"168","Widowed","Very happy",1972
"169","Widowed","Pretty happy",1972
"170","Married","Pretty happy",1972
"171","Married","Pretty happy",1972
"172","Married","Not too happy",1972
"173","Never married","Pretty happy",1972
"174","Married","Very happy",1972
"175","Married","Pretty happy",1972
"176","Married","Not too happy",1972
"177","Married","Very happy",1972
"178","Married","Very happy",1972
"179","Married","Very happy",1972
"180","Divorced","Pretty happy",1972
"181","Married","Very happy",1972
"182","Married","Very happy",1972
"183","Married","Pretty happy",1972
"184","Married","Pretty happy",1972
"185","Divorced","Pretty happy",1972
"186","Married","Very happy",1972
"187","Married","Pretty happy",1972
"188","Married","Very happy",1972
"189","Married","Pretty happy",1972
"190","Married","Very happy",1972
"191","Married","Pretty happy",1972
"192","Married","Very happy",1972
"193","Married","Very happy",1972
"194","Married","Pretty happy",1972
"195","Widowed","Not too happy",1972
"196","Married","Very happy",1972
"197","Separated","Pretty happy",1972
"198","Separated","Not too happy",1972
"199","Married","Pretty happy",1972
"200","Separated","Pretty happy",1972
"201","Married","Pretty happy",1972
"202","Married","Pretty happy",1972
"203","Married","Very happy",1972
"204","Married","Very happy",1972
"205","Married","Pretty happy",1972
"206","Married","Pretty happy",1972
"207","Married","Pretty happy",1972
"208","Married","Pretty happy",1972
"209","Married","Very happy",1972
"210","Married","Pretty happy",1972
"211","Married","Pretty happy",1972
"212","Never married","Pretty happy",1972
"213","Never married","Pretty happy",1972
"214","Married","Very happy",1972
"215","Never married","Pretty happy",1972
"216","Married","Very happy",1972
"217","Widowed","Not too happy",1972
"218","Never married","Very happy",1972
"219","Married","Very happy",1972
"220","Married","Very happy",1972
"221","Married","Very happy",1972
"222","Married","Pretty happy",1972
"223","Married","Pretty happy",1972
"224","Married","Pretty happy",1972
"225","Married","Pretty happy",1972
"226","Divorced","Pretty happy",1972
"227","Married","Not too happy",1972
"228","Married","Very happy",1972
"229","Married","Very happy",1972
"230","Married","Very happy",1972
"231","Never married","Very happy",1972
"232","Married","Pretty happy",1972
"233","Separated","Very happy",1972
"234","Married","Very happy",1972
"235","Never married","Not too happy",1972
"236","Married","Very happy",1972
"237","Married","Not too happy",1972
"238","Married","Pretty happy",1972
"239","Married","Pretty happy",1972
