"id","edu_year","employee_status","industry_sector","income","race","sex","science_course"
4,16,2,2,9,1,2,1
8,17,2,2,12,1,1,1
10,15,2,2,12,3,2,2
15,16,2,2,12,1,2,1
16,16,1,2,11,1,1,2
17,13,2,2,12,3,2,2
18,13,1,2,12,1,1,2
19,14,2,2,11,1,1,1
20,8,2,2,6,3,2,2
25,15,1,1,12,1,2,1
28,16,1,2,12,1,1,1
29,15,2,2,12,1,1,2
30,16,2,2,12,1,1,1
38,14,2,2,12,1,1,2
44,14,2,2,12,1,1,2
51,18,2,2,12,1,2,1
53,14,2,2,12,3,1,2
59,18,2,2,12,1,2,1
61,16,2,2,11,1,1,1
62,16,2,2,11,3,2,1
64,16,2,1,12,3,2,1
66,16,1,2,12,1,1,1
67,16,1,2,12,1,2,1
68,18,2,2,12,1,1,1
70,12,2,2,11,1,1,2
73,16,2,2,12,1,2,1
75,20,2,1,12,1,2,1
78,16,2,2,12,1,2,1
81,11,2,2,8,3,1,2
88,16,2,1,12,2,1,2
91,15,2,1,12,1,1,1
93,16,2,2,12,2,2,1
94,8,2,2,10,1,2,1
98,12,2,2,10,2,2,2
101,13,2,1,12,2,2,2
102,18,2,2,12,1,1,1
103,12,2,2,12,2,2,2
104,16,2,2,12,1,2,1
106,16,1,2,12,1,1,1
109,20,2,1,12,1,1,1
112,12,2,2,9,3,1,2
116,18,2,1,12,1,2,2
132,16,2,2,12,2,1,1
134,18,2,1,12,2,2,2
141,14,2,2,9,1,2,1
142,20,2,1,12,1,1,1
143,14,2,2,11,1,1,2
149,16,2,2,12,2,2,1
151,16,2,2,9,1,2,1
155,6,2,2,4,3,2,2
159,6,2,2,12,3,1,2
162,14,2,2,12,1,2,1
164,14,2,2,12,1,1,1
173,14,1,2,12,1,1,2
181,14,2,1,12,3,1,2
187,12,2,2,12,1,1,2
190,14,2,2,12,2,1,2
192,12,2,1,11,2,2,2
194,10,2,2,6,1,2,2
195,13,2,2,12,1,2,1
198,12,2,2,11,1,1,2
199,14,2,2,6,3,2,2
200,12,2,2,12,1,1,1
202,13,2,2,9,2,1,2
206,9,2,2,11,1,1,2
209,6,2,2,12,1,1,2
214,13,1,2,7,1,2,2
215,11,1,2,11,1,2,2
218,16,1,2,12,3,1,1
222,14,2,1,9,3,2,1
225,16,2,1,12,3,2,1
226,14,1,2,11,1,1,1
232,20,1,2,12,1,1,1
242,18,2,2,12,3,2,1
243,19,2,1,12,1,2,1
244,13,2,2,12,1,2,2
245,2,1,2,12,3,1,2
251,16,2,2,12,3,2,2
256,13,2,1,12,1,1,2
257,12,2,1,2,1,2,2
259,14,1,2,12,1,1,2
270,18,2,1,12,1,2,1
274,12,2,1,12,2,1,2
279,16,2,2,12,2,2,1
282,13,2,2,12,1,1,2
288,20,2,2,12,1,1,1
289,10,2,2,11,3,2,2
296,16,1,2,12,1,2,2
297,15,2,2,11,1,2,1
302,12,2,2,12,3,1,2
304,16,1,2,12,2,1,1
305,16,2,2,12,1,2,1
312,20,2,2,12,1,2,1
313,12,2,2,12,2,2,2
314,14,2,2,12,2,2,1
315,12,2,2,12,2,2,1
320,12,2,2,12,3,1,2
324,16,2,1,12,1,1,1
325,14,2,2,5,3,2,2
328,15,2,2,11,3,2,1
333,12,2,2,12,1,2,2
334,16,2,2,12,1,1,1
335,17,1,2,1,2,1,1
341,18,2,1,3,3,2,1
343,18,2,2,9,1,1,1
346,8,2,2,12,1,1,2
348,12,2,2,12,1,1,2
349,15,1,2,12,1,1,2
350,20,2,2,12,1,2,1
351,18,1,2,9,1,1,1
356,13,2,2,1,3,1,2
358,12,2,2,11,1,2,2
360,16,2,1,9,1,2,1
363,17,2,2,12,1,2,1
365,16,2,1,12,1,2,1
367,15,2,1,12,1,2,2
371,16,2,2,12,1,1,1
372,20,2,2,12,3,1,1
374,15,1,2,12,1,1,2
376,16,2,2,12,1,1,1
379,16,1,2,12,1,1,1
382,10,2,2,12,1,1,2
385,6,2,2,12,3,1,2
387,15,2,2,12,2,2,1
388,12,2,2,12,2,2,2
394,18,2,2,10,2,2,1
395,15,2,2,12,2,1,1
396,16,2,1,12,2,2,1
398,20,2,1,12,2,2,1
401,12,2,2,12,1,2,2
402,12,2,2,12,1,1,2
404,20,2,2,12,1,2,1
406,20,2,1,12,1,1,1
409,20,2,2,12,2,2,1
410,16,2,2,12,1,2,1
411,19,2,2,12,1,1,1
414,12,1,2,12,1,1,2
415,17,2,2,12,2,2,1
416,16,2,1,12,1,2,1
417,16,1,2,11,2,2,1
420,13,2,1,12,2,1,2
421,16,1,2,5,1,1,1
422,20,2,2,2,3,1,1
429,9,1,2,11,1,1,2
436,18,2,1,12,1,1,1
437,12,1,2,9,1,1,2
445,11,2,2,8,1,1,2
450,16,2,2,12,3,1,1
458,16,2,2,12,1,2,1
479,16,2,1,12,1,2,1
486,16,2,1,12,1,2,1
487,16,2,2,12,1,1,2
490,18,2,2,12,1,2,1
495,18,2,2,12,1,2,1
496,14,2,1,9,1,2,1
504,16,1,2,12,1,1,2
505,16,2,2,12,1,1,1
506,18,1,2,12,1,1,1
509,9,2,2,12,3,1,2
511,15,2,1,12,2,2,2
515,20,2,2,12,1,2,1
520,9,2,2,11,3,1,2
521,16,2,2,4,3,2,2
525,14,2,2,12,2,2,1
528,12,2,2,12,3,1,2
529,12,2,2,12,1,1,2
530,12,2,2,12,3,1,1
532,20,2,1,12,1,2,1
538,17,2,1,12,1,2,1
544,16,2,1,12,1,2,1
545,12,2,2,12,1,1,2
546,16,1,2,11,1,1,1
549,16,2,2,8,1,2,1
553,16,1,2,12,3,2,1
555,12,2,2,12,3,2,1
556,10,2,2,12,1,2,2
557,14,2,1,1,1,2,2
561,16,2,2,12,1,1,2
562,13,2,2,10,1,2,1
572,6,2,2,12,3,1,2
578,12,2,2,12,1,2,2
579,16,2,2,12,1,2,2
583,12,1,2,12,1,2,1
589,13,2,2,3,2,1,2
594,16,2,1,12,1,2,1
602,14,2,1,12,2,2,2
605,12,2,2,12,2,1,2
613,13,1,2,12,1,1,2
617,16,2,2,12,1,2,1
620,16,2,2,12,1,1,1
625,11,2,2,11,1,2,2
629,14,2,2,12,1,2,2
632,13,2,2,12,1,1,1
633,18,2,2,12,1,1,1
636,13,2,2,6,1,1,2
639,14,2,2,9,2,2,2
641,12,2,2,1,2,1,2
642,16,2,2,1,1,2,1
648,17,2,1,12,2,2,1
650,19,2,2,12,1,2,1
652,12,2,2,12,3,1,2
653,13,2,2,3,1,2,1
657,14,1,2,6,2,2,1
659,12,2,1,10,2,2,2
660,12,2,2,12,2,2,2
662,12,2,1,12,2,1,2
666,12,2,2,6,2,2,2
669,12,2,2,12,1,2,2
671,12,2,2,5,1,1,2
675,10,2,2,10,2,1,2
682,12,2,2,12,1,1,2
686,9,1,2,12,1,2,2
688,14,2,2,12,1,2,2
691,16,1,2,1,1,2,1
695,14,2,2,11,1,2,1
696,16,2,2,12,1,2,1
697,16,2,2,12,1,1,1
701,20,2,1,12,2,1,1
703,13,2,2,9,2,2,2
706,7,2,2,3,1,1,2
709,11,2,1,12,1,1,2
715,16,2,2,8,3,1,1
720,16,2,2,12,2,2,1
723,6,2,2,12,3,1,2
729,16,2,1,12,2,2,1
730,14,2,2,12,1,1,1
732,14,2,2,3,2,2,1
734,16,2,2,12,1,1,1
736,12,2,2,12,1,2,2
739,12,2,2,2,1,2,2
749,12,2,2,9,1,1,2
756,15,2,1,12,2,2,1
759,12,2,1,3,2,1,2
766,12,2,2,12,1,1,2
771,19,2,1,4,1,1,2
772,20,2,2,12,1,1,1
773,18,2,2,12,1,1,2
778,15,1,2,10,3,1,2
781,13,2,2,12,1,1,2
782,12,1,2,12,1,1,2
783,3,2,2,11,3,1,2
787,20,2,2,12,1,2,1
798,15,2,2,5,2,1,1
799,16,1,2,12,2,2,1
802,12,2,2,8,1,1,2
805,12,2,2,12,1,2,2
806,16,2,2,12,1,1,2
815,14,2,2,10,2,2,1
817,13,2,2,11,2,1,2
821,14,2,2,6,1,1,1
827,14,2,2,12,1,2,2
838,16,2,2,12,1,2,1
844,17,2,2,12,1,2,1
849,15,2,1,12,1,2,1
855,13,2,2,2,1,1,1
859,15,2,2,12,3,2,1
861,16,2,2,12,1,2,1
862,19,2,1,12,1,2,1
864,14,2,2,10,1,1,1
866,14,2,2,12,1,1,2
867,12,2,2,12,1,2,2
868,18,2,2,12,1,1,1
872,20,2,1,12,1,1,1
873,12,2,2,12,1,2,2
874,16,2,2,12,1,1,1
875,12,2,1,12,1,1,2
877,17,2,1,12,1,2,1
878,13,2,1,12,1,1,2
879,16,2,1,12,2,2,1
880,17,2,1,12,1,1,1
884,13,2,2,11,1,2,2
887,16,2,2,9,2,2,1
890,12,2,2,11,1,2,2
891,14,1,2,12,1,2,1
893,12,2,2,12,1,1,1
894,12,2,2,9,2,1,2
895,18,2,2,12,1,1,1
897,18,2,2,11,1,2,1
898,16,2,1,12,1,2,2
900,12,2,2,11,1,1,2
901,14,2,2,12,2,1,1
903,18,2,2,9,1,2,1
904,12,2,2,10,1,2,1
909,14,2,1,12,3,2,2
918,14,1,2,10,2,1,1
919,12,2,2,12,2,2,2
920,20,2,2,12,1,2,1
922,13,2,2,12,1,2,2
923,17,2,2,12,1,1,1
924,16,2,2,12,1,1,1
925,12,2,2,11,1,1,2
930,16,2,2,12,1,2,1
932,12,2,2,12,1,1,2
937,13,2,1,12,1,1,2
945,14,2,2,12,1,1,2
947,17,2,2,12,1,2,1
955,12,2,2,12,3,1,2
956,14,2,2,12,1,2,1
957,12,1,2,12,1,2,2
963,14,1,2,1,1,1,1
974,16,2,2,12,1,1,1
978,15,1,2,6,1,1,1
979,16,2,2,12,1,1,1
982,16,2,2,3,1,2,1
987,12,2,1,12,1,2,2
997,12,2,2,4,1,2,2
999,12,2,2,12,1,2,2
1000,17,2,2,9,1,2,2
1003,12,2,2,5,1,1,2
1013,12,2,2,9,1,1,1
1016,12,2,2,12,1,1,2
1020,12,2,2,12,2,2,2
1023,12,2,2,12,1,2,2
1027,14,2,2,11,1,2,1
1030,14,2,2,12,1,1,1
1033,20,2,2,12,2,1,1
1035,16,2,2,2,3,2,1
1037,19,2,2,12,1,2,1
1044,15,2,2,12,1,2,1
1045,12,2,1,11,1,2,2
1053,14,1,2,12,1,2,1
1054,18,2,2,12,3,1,1
1056,18,2,2,12,1,2,1
1058,16,2,1,9,1,2,1
1059,16,2,2,12,1,1,1
1061,12,2,2,12,1,1,2
1062,11,2,2,2,2,1,2
1065,14,2,2,12,2,1,2
1070,13,1,2,12,2,2,2
1074,18,1,2,2,1,2,1
1076,15,2,2,12,1,2,1
1078,14,2,2,6,1,1,1
1081,13,2,2,12,1,2,2
1093,14,2,2,12,1,2,1
1094,15,2,2,12,2,2,2
1097,12,2,2,8,1,1,2
1100,12,2,2,12,1,1,2
1106,13,2,2,12,1,2,2
1109,13,2,2,12,3,2,2
1110,12,2,2,12,3,1,2
1111,14,2,2,3,3,2,1
1112,14,1,2,10,1,2,2
1117,16,2,1,12,1,1,2
1120,16,2,2,5,3,2,1
1121,16,2,1,12,3,1,1
1126,14,2,2,12,1,1,2
1128,13,2,2,12,1,1,1
1130,16,2,2,12,1,2,1
1134,16,2,2,12,1,2,1
1135,14,2,2,12,1,2,1
1143,16,2,2,9,2,1,1
1148,12,2,2,9,3,2,2
1150,19,2,2,12,1,2,1
1152,12,2,2,8,1,2,2
1158,16,1,2,12,2,1,1
1159,18,2,1,12,1,1,1
1160,12,1,2,12,1,1,2
1162,14,2,2,12,1,1,1
1163,15,2,2,9,2,2,1
1169,10,2,2,11,1,1,2
1170,12,2,2,11,2,2,2
1175,14,2,2,3,2,1,1
1177,14,2,1,9,1,2,1
1181,14,2,2,12,1,1,2
1185,14,2,2,11,1,2,2
1186,14,2,2,12,1,1,1
1192,16,2,2,12,1,1,1
1195,13,2,2,1,1,1,2
1201,12,2,1,1,2,2,2
1207,16,2,1,10,2,2,1
1208,12,2,2,9,1,2,2
1211,13,2,2,12,1,2,2
1212,16,2,1,12,1,1,2
