"id","edu_year","major","income","race","sex"
29,18,82,12,1,1
38,16,21,12,1,2
48,16,41,12,3,1
55,16,9,5,1,2
56,16,12,12,1,2
58,17,42,12,1,2
72,14,60,12,2,2
75,18,36,12,2,2
77,20,43,12,1,2
78,18,16,12,2,2
81,14,49,12,3,1
83,16,25,12,1,1
98,16,6,6,2,1
111,16,1,12,1,1
121,18,16,12,1,2
130,20,9,12,1,1
132,16,36,12,2,2
139,16,19,12,1,2
146,16,44,12,1,2
150,16,67,12,1,1
152,15,81,12,1,2
154,18,71,10,3,2
177,16,9,12,1,1
198,16,14,12,3,1
199,15,53,3,1,1
200,16,20,12,2,1
204,16,17,12,2,1
207,16,1,12,3,2
209,14,9,4,2,1
217,16,70,12,1,2
228,16,12,12,1,1
233,18,18,12,3,2
236,19,36,12,1,2
246,17,9,12,3,2
257,16,42,12,1,2
261,20,19,12,1,2
265,17,42,9,3,2
272,16,42,11,1,2
273,16,25,12,1,2
277,20,45,12,1,2
290,17,1,12,1,2
291,19,29,12,1,1
293,19,50,12,1,1
306,19,52,12,1,2
314,16,19,12,1,1
332,16,9,12,1,1
336,16,14,12,3,2
338,18,55,12,1,2
346,19,17,10,1,1
363,16,9,12,1,1
365,18,18,12,1,1
376,16,18,12,1,2
378,16,57,4,1,2
380,18,16,12,2,2
382,16,49,12,1,2
386,16,1,11,2,2
398,18,43,12,1,2
399,16,77,12,1,2
410,18,9,12,1,1
414,18,43,12,1,1
427,18,9,12,1,1
436,16,12,12,1,2
440,16,33,9,1,1
467,18,1,12,1,2
469,16,60,12,1,2
473,18,70,12,1,1
478,16,8,12,1,1
485,14,36,12,1,2
488,20,9,12,1,1
509,16,14,12,1,2
522,20,16,12,1,2
529,16,42,4,3,2
530,16,12,12,1,2
572,16,42,12,1,1
573,16,9,12,2,2
580,16,14,12,1,1
590,17,51,12,1,1
609,20,82,12,2,2
618,20,8,12,2,2
620,16,8,12,1,2
625,16,4,12,1,2
627,16,9,7,1,2
634,14,9,12,3,2
636,16,29,12,1,1
638,17,12,12,1,2
642,16,55,12,1,2
643,16,23,12,1,1
647,19,11,12,3,2
652,19,28,7,1,1
654,20,34,12,1,2
660,16,9,12,2,2
663,19,16,12,1,2
678,18,14,5,3,1
702,15,51,11,1,1
705,16,16,12,2,2
713,16,50,11,3,2
729,16,1,12,2,2
734,15,16,4,2,1
737,16,71,12,2,2
747,16,9,11,2,1
749,18,14,12,1,1
758,14,8,12,2,1
774,14,16,12,2,1
778,16,9,6,2,2
786,14,42,9,2,2
798,16,29,12,1,2
807,16,43,12,1,1
809,19,55,12,1,1
812,17,36,12,1,2
814,16,11,12,1,1
822,16,43,12,2,1
825,16,8,12,1,2
836,18,16,12,1,2
850,16,50,8,1,2
852,16,51,12,1,1
859,18,62,12,3,1
864,16,32,5,3,2
881,17,1,10,1,1
883,16,9,12,1,1
887,14,9,6,1,2
901,16,58,12,1,2
920,18,16,12,1,2
938,17,7,12,1,2
939,18,52,8,1,2
940,17,1,12,1,2
941,17,14,12,2,1
970,14,9,5,1,1
978,16,27,4,1,1
983,16,42,11,1,2
997,17,1,12,1,2
1004,20,16,12,1,2
1010,20,16,12,1,2
1011,16,9,12,2,2
1014,16,12,10,2,2
1023,14,80,2,1,1
1026,18,67,12,1,1
1028,16,16,12,1,2
1031,20,9,8,1,1
1033,18,9,12,1,2
1034,16,9,12,1,1
1036,17,9,12,1,1
1039,16,63,12,1,1
1045,16,8,12,1,2
1047,16,61,12,1,1
1052,17,7,4,1,1
1073,16,40,9,1,1
1080,14,14,12,2,1
1082,16,29,12,1,2
1117,16,9,12,1,2
1122,14,9,12,1,1
1130,16,69,12,1,1
1138,16,16,12,1,2
1159,14,59,12,1,2
1162,16,9,12,1,1
1169,16,55,12,1,2
1170,16,9,12,1,1
1177,17,46,9,1,2
1197,16,43,12,1,1
1211,14,45,12,1,2
1219,19,36,12,1,2
1225,20,15,12,1,1
1244,16,18,12,3,1
1250,16,40,2,1,2
1265,14,16,12,1,2
1267,16,16,5,1,2
1285,20,20,12,1,1
1302,19,29,11,1,2
1324,17,16,12,1,2
1328,16,9,12,1,1
1329,16,42,12,1,2
1333,18,16,12,1,2
1362,16,43,12,1,1
1370,15,1,4,2,1
1373,17,44,12,1,2
1375,13,9,1,1,1
1394,20,6,5,1,1
1401,16,9,8,1,1
1419,16,42,12,1,2
1432,14,18,12,1,1
1440,18,9,12,1,1
1443,16,9,12,1,1
