"","Race","Happy_level","Year"
"1","White","Not too happy",1972
"2","White","Not too happy",1972
"3","White","Pretty happy",1972
"4","White","Not too happy",1972
"5","White","Pretty happy",1972
"6","White","Pretty happy",1972
"7","White","Not too happy",1972
"8","White","Not too happy",1972
"9","Black","Pretty happy",1972
"10","Black","Pretty happy",1972
"11","Black","Pretty happy",1972
"12","Black","Pretty happy",1972
"13","Black","Pretty happy",1972
"14","Black","Not too happy",1972
"15","Black","Very happy",1972
"16","Black","Not too happy",1972
"17","White","Very happy",1972
"18","White","Very happy",1972
"19","White","Very happy",1972
"20","White","Very happy",1972
"21","White","Very happy",1972
"22","White","Very happy",1972
"23","White","Very happy",1972
"24","White","Pretty happy",1972
"25","White","Very happy",1972
"26","White","Pretty happy",1972
"27","White","Pretty happy",1972
"28","White","Pretty happy",1972
"29","White","Pretty happy",1972
"30","White","Pretty happy",1972
"31","White","Very happy",1972
"32","White","Pretty happy",1972
"33","White","Very happy",1972
"34","White","Very happy",1972
"35","White","Not too happy",1972
"36","White","Very happy",1972
"37","White","Not too happy",1972
"38","White","Pretty happy",1972
"39","White","Not too happy",1972
"40","White","Pretty happy",1972
"41","White","Very happy",1972
"42","White","Pretty happy",1972
"43","White","Very happy",1972
"44","White","Pretty happy",1972
"45","White","Pretty happy",1972
"46","White","Very happy",1972
"47","White","Pretty happy",1972
"48","White","Pretty happy",1972
"49","White","Very happy",1972
"50","White","Very happy",1972
"51","White","Very happy",1972
"52","White","Very happy",1972
"53","White","Pretty happy",1972
"54","White","Pretty happy",1972
"55","White","Pretty happy",1972
"56","White","Very happy",1972
"57","White","Very happy",1972
"58","White","Very happy",1972
"59","White","Pretty happy",1972
"60","White","Pretty happy",1972
"61","White","Pretty happy",1972
"62","White","Very happy",1972
"63","White","Pretty happy",1972
"64","White","Pretty happy",1972
"65","White","Very happy",1972
"66","White","Pretty happy",1972
"67","White","Pretty happy",1972
"68","White","Pretty happy",1972
"69","White","Pretty happy",1972
"70","White","Pretty happy",1972
"71","White","Not too happy",1972
"72","White","Pretty happy",1972
"73","White","Pretty happy",1972
"74","White","Not too happy",1972
"75","White","Very happy",1972
"76","White","Pretty happy",1972
"77","White","Pretty happy",1972
"78","White","Pretty happy",1972
"79","White","Very happy",1972
"80","White","Very happy",1972
"81","White","Very happy",1972
"82","White","Pretty happy",1972
"83","White","Pretty happy",1972
"84","White","Very happy",1972
"85","Black","Pretty happy",1972
"86","White","Very happy",1972
"87","White","Pretty happy",1972
"88","White","Pretty happy",1972
"89","White","Very happy",1972
"90","White","Very happy",1972
"91","White","Very happy",1972
"92","White","Very happy",1972
"93","White","Very happy",1972
"94","White","Very happy",1972
"95","White","Pretty happy",1972
"96","White","Very happy",1972
"97","White","Very happy",1972
"98","White","Pretty happy",1972
"99","White","Pretty happy",1972
"100","White","Pretty happy",1972
"101","White","Very happy",1972
"102","White","Not too happy",1972
"103","Black","Not too happy",1972
"104","Black","Pretty happy",1972
"105","White","Pretty happy",1972
"106","White","Pretty happy",1972
"107","White","Pretty happy",1972
"108","Black","Pretty happy",1972
"109","Black","Not too happy",1972
"110","Black","Very happy",1972
"111","Black","Not too happy",1972
"112","Black","Very happy",1972
"113","White","Very happy",1972
"114","White","Pretty happy",1972
"115","White","Pretty happy",1972
"116","White","Pretty happy",1972
"117","White","Not too happy",1972
"118","White","Not too happy",1972
"119","White","Pretty happy",1972
"120","White","Pretty happy",1972
"121","White","Pretty happy",1972
"122","White","Pretty happy",1972
"123","White","Pretty happy",1972
"124","White","Very happy",1972
"125","White","Pretty happy",1972
"126","White","Pretty happy",1972
"127","White","Pretty happy",1972
"128","White","Pretty happy",1972
"129","White","Not too happy",1972
"130","White","Pretty happy",1972
"131","White","Pretty happy",1972
"132","White","Pretty happy",1972
"133","White","Pretty happy",1972
"134","White","Pretty happy",1972
"135","White","Very happy",1972
"136","White","Very happy",1972
"137","White","Pretty happy",1972
"138","White","Very happy",1972
"139","White","Pretty happy",1972
"140","White","Pretty happy",1972
"141","White","Pretty happy",1972
"142","White","Pretty happy",1972
"143","White","Very happy",1972
"144","White","Pretty happy",1972
"145","White","Pretty happy",1972
"146","White","Pretty happy",1972
"147","White","Pretty happy",1972
"148","White","Pretty happy",1972
"149","White","Very happy",1972
"150","White","Pretty happy",1972
"151","White","Very happy",1972
"152","White","Pretty happy",1972
"153","White","Very happy",1972
"154","White","Very happy",1972
"155","White","Very happy",1972
"156","White","Very happy",1972
"157","White","Pretty happy",1972
"158","White","Very happy",1972
"159","White","Pretty happy",1972
"160","White","Pretty happy",1972
"161","White","Pretty happy",1972
"162","White","Pretty happy",1972
"163","White","Not too happy",1972
"164","White","Very happy",1972
"165","White","Pretty happy",1972
"166","Black","Very happy",1972
"167","Black","Pretty happy",1972
"168","Black","Very happy",1972
"169","Black","Pretty happy",1972
"170","Black","Pretty happy",1972
"171","Black","Pretty happy",1972
"172","Black","Not too happy",1972
"173","White","Pretty happy",1972
"174","White","Very happy",1972
"175","White","Pretty happy",1972
"176","White","Not too happy",1972
"177","White","Very happy",1972
"178","White","Very happy",1972
"179","White","Very happy",1972
"180","White","Pretty happy",1972
"181","White","Very happy",1972
"182","White","Very happy",1972
"183","White","Pretty happy",1972
"184","White","Pretty happy",1972
"185","White","Pretty happy",1972
"186","White","Very happy",1972
"187","White","Pretty happy",1972
"188","White","Very happy",1972
"189","White","Pretty happy",1972
"190","White","Very happy",1972
"191","White","Pretty happy",1972
"192","White","Very happy",1972
"193","White","Very happy",1972
"194","White","Pretty happy",1972
"195","White","Not too happy",1972
"196","White","Very happy",1972
"197","Black","Pretty happy",1972
"198","Black","Not too happy",1972
"199","Black","Pretty happy",1972
"200","Black","Pretty happy",1972
"201","Black","Pretty happy",1972
"202","Black","Pretty happy",1972
"203","White","Very happy",1972
"204","White","Very happy",1972
"205","White","Pretty happy",1972
"206","White","Pretty happy",1972
"207","White","Pretty happy",1972
"208","White","Pretty happy",1972
"209","White","Very happy",1972
"210","White","Pretty happy",1972
"211","White","Pretty happy",1972
"212","White","Pretty happy",1972
"213","White","Pretty happy",1972
"214","White","Very happy",1972
"215","White","Pretty happy",1972
"216","White","Very happy",1972
"217","White","Not too happy",1972
"218","White","Very happy",1972
"219","White","Very happy",1972
"220","White","Very happy",1972
"221","White","Very happy",1972
"222","White","Pretty happy",1972
"223","White","Pretty happy",1972
"224","White","Pretty happy",1972
"225","White","Pretty happy",1972
"226","White","Pretty happy",1972
"227","White","Not too happy",1972
"228","White","Very happy",1972
"229","White","Very happy",1972
"230","White","Very happy",1972
"231","White","Very happy",1972
"232","White","Pretty happy",1972
"233","White","Very happy",1972
"234","White","Very happy",1972
"235","White","Not too happy",1972
"236","White","Very happy",1972
"237","White","Not too happy",1972
"238","White","Pretty happy",1972
"239","White","Pretty happy",1972
"240","White","Pretty happy",1972
"241","White","Very happy",1972
"242","White","Not too happy",1972
"243","White","Not too happy",1972
"244","White","Very happy",1972
"245","White","Very happy",1972
"246","White","Very happy",1972
"247","Black","Pretty happy",1972
"248","White","Pretty happy",1972
"249","Black","Pretty happy",1972
"250","Black","Pretty happy",1972
"251","Black","Pretty happy",1972
"252","Black","Very happy",1972
"253","White","Very happy",1972
"254","Black","Pretty happy",1972
"255","White","Pretty happy",1972
"256","White","Not too happy",1972
"257","White","Not too happy",1972
"258","White","Not too happy",1972
"259","White","Pretty happy",1972
"260","White","Pretty happy",1972
"261","White","Very happy",1972
"262","White","Pretty happy",1972
"263","White","Not too happy",1972
"264","White","Pretty happy",1972
"265","White","Pretty happy",1972
"266","White","Very happy",1972
"267","White","Pretty happy",1972
"268","White","Very happy",1972
"269","White","Very happy",1972
"270","White","Very happy",1972
"271","White","Very happy",1972
"272","White","Very happy",1972
"273","White","Very happy",1972
"274","White","Pretty happy",1972
"275","Black","Very happy",1972
"276","Black","Pretty happy",1972
"277","Black","Pretty happy",1972
