"","Sex","Happy_level","Year"
"1","Female","Not too happy",1972
"2","Male","Not too happy",1972
"3","Female","Pretty happy",1972
"4","Female","Not too happy",1972
"5","Female","Pretty happy",1972
"6","Male","Pretty happy",1972
"7","Male","Not too happy",1972
"8","Male","Not too happy",1972
"9","Female","Pretty happy",1972
"10","Female","Pretty happy",1972
"11","Female","Pretty happy",1972
"12","Male","Pretty happy",1972
"13","Male","Pretty happy",1972
"14","Female","Not too happy",1972
"15","Male","Very happy",1972
"16","Male","Not too happy",1972
"17","Male","Very happy",1972
"18","Female","Very happy",1972
"19","Female","Very happy",1972
"20","Male","Very happy",1972
"21","Male","Very happy",1972
"22","Male","Very happy",1972
"23","Female","Very happy",1972
"24","Female","Pretty happy",1972
"25","Female","Very happy",1972
"26","Male","Pretty happy",1972
"27","Female","Pretty happy",1972
"28","Male","Pretty happy",1972
"29","Male","Pretty happy",1972
"30","Male","Pretty happy",1972
"31","Female","Very happy",1972
"32","Male","Pretty happy",1972
"33","Female","Very happy",1972
"34","Male","Very happy",1972
"35","Male","Not too happy",1972
"36","Female","Very happy",1972
"37","Male","Not too happy",1972
"38","Female","Pretty happy",1972
"39","Male","Not too happy",1972
"40","Male","Pretty happy",1972
"41","Female","Very happy",1972
"42","Female","Pretty happy",1972
"43","Female","Very happy",1972
"44","Male","Pretty happy",1972
"45","Male","Pretty happy",1972
"46","Male","Very happy",1972
"47","Male","Pretty happy",1972
"48","Male","Pretty happy",1972
"49","Male","Very happy",1972
"50","Male","Very happy",1972
"51","Female","Very happy",1972
"52","Female","Very happy",1972
"53","Male","Pretty happy",1972
"54","Female","Pretty happy",1972
"55","Female","Pretty happy",1972
"56","Female","Very happy",1972
"57","Female","Very happy",1972
"58","Male","Very happy",1972
"59","Female","Pretty happy",1972
"60","Male","Pretty happy",1972
"61","Male","Pretty happy",1972
"62","Male","Very happy",1972
"63","Female","Pretty happy",1972
"64","Male","Pretty happy",1972
"65","Female","Very happy",1972
"66","Female","Pretty happy",1972
"67","Male","Pretty happy",1972
"68","Male","Pretty happy",1972
"69","Female","Pretty happy",1972
"70","Male","Pretty happy",1972
"71","Female","Not too happy",1972
"72","Male","Pretty happy",1972
"73","Male","Pretty happy",1972
"74","Female","Not too happy",1972
"75","Male","Very happy",1972
"76","Female","Pretty happy",1972
"77","Male","Pretty happy",1972
"78","Female","Pretty happy",1972
"79","Male","Very happy",1972
"80","Female","Very happy",1972
"81","Male","Very happy",1972
"82","Female","Pretty happy",1972
"83","Female","Pretty happy",1972
"84","Male","Very happy",1972
"85","Female","Pretty happy",1972
"86","Male","Very happy",1972
"87","Female","Pretty happy",1972
"88","Female","Pretty happy",1972
"89","Male","Very happy",1972
"90","Female","Very happy",1972
"91","Male","Very happy",1972
"92","Male","Very happy",1972
"93","Male","Very happy",1972
"94","Male","Very happy",1972
"95","Male","Pretty happy",1972
"96","Female","Very happy",1972
"97","Male","Very happy",1972
"98","Male","Pretty happy",1972
"99","Female","Pretty happy",1972
"100","Female","Pretty happy",1972
"101","Female","Very happy",1972
"102","Male","Not too happy",1972
"103","Male","Not too happy",1972
"104","Male","Pretty happy",1972
"105","Male","Pretty happy",1972
"106","Male","Pretty happy",1972
"107","Female","Pretty happy",1972
"108","Male","Pretty happy",1972
"109","Female","Not too happy",1972
"110","Male","Very happy",1972
"111","Male","Not too happy",1972
"112","Male","Very happy",1972
"113","Female","Very happy",1972
"114","Female","Pretty happy",1972
"115","Female","Pretty happy",1972
"116","Female","Pretty happy",1972
"117","Male","Not too happy",1972
"118","Male","Not too happy",1972
"119","Male","Pretty happy",1972
"120","Male","Pretty happy",1972
"121","Female","Pretty happy",1972
"122","Male","Pretty happy",1972
"123","Female","Pretty happy",1972
"124","Male","Very happy",1972
"125","Female","Pretty happy",1972
"126","Male","Pretty happy",1972
"127","Male","Pretty happy",1972
"128","Female","Pretty happy",1972
"129","Male","Not too happy",1972
"130","Female","Pretty happy",1972
"131","Female","Pretty happy",1972
"132","Male","Pretty happy",1972
"133","Male","Pretty happy",1972
"134","Male","Pretty happy",1972
"135","Female","Very happy",1972
"136","Male","Very happy",1972
"137","Male","Pretty happy",1972
"138","Female","Very happy",1972
"139","Female","Pretty happy",1972
"140","Female","Pretty happy",1972
"141","Female","Pretty happy",1972
"142","Female","Pretty happy",1972
"143","Female","Very happy",1972
"144","Male","Pretty happy",1972
"145","Female","Pretty happy",1972
"146","Male","Pretty happy",1972
"147","Male","Pretty happy",1972
"148","Male","Pretty happy",1972
